customer_id,state,customer_lifetime_value,response,coverage,education,effective_to_date,employment_status,gender,income,location_code,marital_status,monthly_premium_auto,months_since_last_claim,months_since_policy_inception,number_of_open_complaints,number_of_policies,policy_type,policy,renew_offer_type,sales_channel,total_claim_amount,vehicle_class,vehicle_size,vehicle_type,month
DK49336,Arizona,4809.21696,No,Basic,College,2011-02-18,Employed,M,48029.0,Suburban,Married,61,7,52,0,9,Corporate Auto,Corporate L3,Offer3,Agent,292.8,Four-Door Car,Medium,A,Feb
KX64629,California,2228.525238,No,Basic,College,2011-01-18,Unemployed,F,0.0,Suburban,Single,64,3,26,0,1,Personal Auto,Personal L3,Offer4,Call Center,744.924331,Four-Door Car,Medium,A,Jan
LZ68649,Washington,14947.9173,No,Basic,Bachelor,2011-02-10,Employed,M,22139.0,Suburban,Single,100,34,31,0,2,Personal Auto,Personal L3,Offer3,Call Center,480.0,SUV,Medium,A,Feb
XL78013,Oregon,22332.43946,Yes,Extended,College,2011-01-11,Employed,M,49078.0,Suburban,Single,97,10,3,0,2,Corporate Auto,Corporate L3,Offer2,Branch,484.013411,Four-Door Car,Medium,A,Jan
QA50777,Oregon,9025.067525,No,Premium,Bachelor,2011-01-17,Medical Leave,F,23675.0,Suburban,Married,117,15,31,0,7,Personal Auto,Personal L2,Offer1,Branch,707.925645,Four-Door Car,Medium,A,Jan
HO81102,California,4745.181764,No,Basic,High School or Below,2011-02-14,Employed,M,50549.0,Suburban,Divorced,61,2,73,0,7,Personal Auto,Personal L3,Offer1,Agent,292.8,Four-Door Car,Medium,A,Feb
IW72280,California,5035.035257,No,Basic,Doctor,2011-02-14,Employed,F,37405.0,Urban,Married,63,8,99,3,4,Corporate Auto,Corporate L2,Offer2,Branch,287.556107,Four-Door Car,Medium,A,Feb
IH64929,California,4956.247235,No,Basic,High School or Below,2011-02-24,Employed,M,87197.0,Urban,Single,63,35,45,0,3,Personal Auto,Personal L2,Offer2,Branch,247.402353,Two-Door Car,Medium,A,Feb
FM55990,California,5989.773931,Yes,Premium,College,2011-01-19,Employed,M,66839.0,Suburban,Single,154,33,24,0,1,Personal Auto,Personal L1,Offer2,Branch,739.2,Luxury,Medium,A,Jan
QX31376,Oregon,17114.32815,No,Extended,Master,2011-01-04,Employed,F,70961.0,Suburban,Married,85,19,8,0,2,Corporate Auto,Corporate L3,Offer2,Agent,408.0,Four-Door Car,Small,A,Jan
